id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_cond,foundation,bsmt_exposure,total_bsmt_sf,heating,heating_qc,central_air,electrical,gr_liv_area,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,paved_drive,wood_deck_sf,pool_area,fence,misc_val,mo_sold,sale_type,saleprice,Feedr,Norm,PosA,PosN,RRAe,RRAn,RRNe,RRNn,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,Greens,IDOTRR,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker,2fmCon,Duplex,Twnhs,TwnhsE,AsphShn,BrkComm,BrkFace,CBlock,CemntBd,HdBoard,MetalSd,Plywood,Stone,Stucco,VinylSd,Wd Sdng,WdShing,CBlock.1,PConc,Slab,Stone.1,Wood,Tar&Grv,WdShake,WdShngl,NoSewr,Feedr.1,Norm.1,PosA.1,PosN.1,RRAe.1,RRAn.1,RRNe.1,RRNn.1,overall_qual_cond,basement_cond,2nd_story,total_bath,total_porch_sf,neighborhood_price_rank,updated,garage_age,garage_qual_cond,house_age,land_house_ratio,has_pool,has_fireplace,meltdown,lot_frontage_outliers,lot_area_outliers,mas_vnr_area_outliers,total_bsmt_sf_outliers,gr_liv_area_outliers,garage_area_outliers
109,533352170,60,RL,69.05520046484602,13517,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,8,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,2,CBlock,,725.0,GasA,4,1,SBrkr,1479,3,1,3,6,3,0,0,Attchd,RFn,2.0,475.0,1,0,0,0,0,3,WD,130500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.5,2.75,1,2.5,44,19,29,34.0,2.0,34,9.139283299526706,0,0,0,0,0,0,0,0,0
544,531379050,60,RL,43.0,11492,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,2,PConc,,913.0,GasA,4,1,SBrkr,2122,4,1,3,8,3,1,1,Attchd,RFn,2.0,559.0,1,0,0,0,0,4,WD,220000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,3.0,1,3.5,74,14,1,12.0,2.0,13,5.41564561734213,0,1,0,0,0,0,0,0,0
153,535304180,20,RL,68.0,7922,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,,1057.0,GasA,2,1,SBrkr,1057,3,1,3,5,3,0,0,Detchd,Unf,1.0,246.0,1,0,0,0,0,1,WD,109000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.5,2.75,0,2.0,52,16,54,57.0,2.0,57,7.494796594134343,0,0,0,0,0,0,0,0,0
318,916386060,60,RL,73.0,9802,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,PConc,,384.0,GasA,3,1,SBrkr,1444,3,1,2,7,3,0,0,BuiltIn,Fin,2.0,400.0,1,100,0,0,0,4,WD,174000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.5,1.75,1,2.5,0,5,1,3.0,2.0,4,6.78808864265928,0,0,0,0,0,0,0,0,0
255,906425045,50,RL,82.0,14235,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,8,Gable,CompShg,Wd Sdng,Plywood,None,0.0,2,PConc,,676.0,GasA,2,1,SBrkr,1445,3,1,2,6,3,0,0,Detchd,Unf,2.0,484.0,0,0,0,0,0,3,WD,138500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,1.5,1,2.0,59,14,93,53.0,2.0,110,9.85121107266436,0,0,0,0,0,0,0,0,0
138,535126040,20,RL,137.0,16492,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,Gable,CompShg,BrkFace,Plywood,None,0.0,2,CBlock,,1517.0,GasA,4,1,SBrkr,1888,2,1,3,6,0,1,1,Attchd,Fin,2.0,578.0,1,0,0,0,0,6,WD,190000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.5,3.0,0,2.5,0,16,36,44.0,2.0,44,8.735169491525424,0,1,0,1,1,1,1,1,1
2827,908186070,180,RM,35.0,3675,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,2,PConc,3.0,547.0,GasA,3,1,SBrkr,1072,2,1,2,5,3,0,0,Basment,Fin,2.0,525.0,1,0,0,0,0,6,New,140000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,3.0,0,3.0,44,22,1,1.0,2.0,1,3.4281716417910446,0,0,1,0,0,0,0,0,0
145,535154050,20,RL,69.05520046484602,12160,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,2,CBlock,,1188.0,GasA,1,1,SBrkr,1188,3,1,2,6,3,0,0,Attchd,RFn,2.0,531.0,1,0,0,1,0,5,COD,142000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.5,2.0,0,2.0,0,16,0,51.0,2.0,51,10.235690235690235,0,0,0,0,0,0,0,0,0
1942,535353130,20,RL,69.05520046484602,15783,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,CBlock,,924.0,GasA,2,1,SBrkr,924,2,1,2,6,3,0,0,Detchd,Unf,1.0,420.0,1,0,0,1,400,6,WD,112500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,2.0,0,1.0,324,24,0,55.0,2.0,55,17.08116883116883,0,0,0,0,0,0,0,0,0
1956,535426130,60,RL,70.0,11606,Pave,0,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,2,PConc,,1040.0,GasA,2,1,SBrkr,2080,5,1,1,9,3,2,1,Attchd,Unf,2.0,504.0,1,335,0,0,0,9,WD,135000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.5,2.25,1,2.5,0,16,0,38.0,2.0,38,5.579807692307693,0,1,0,0,0,0,0,0,0
